player,name,pick,Average,,,
Keyonte George,ESPN,16,13.18181818,,,
Keyonte George,Tankathon,12,13.18181818,,,
Keyonte George,The Box and One,13,13.18181818,,,
Keyonte George,NBA Draft Room,14,13.18181818,,,
Keyonte George,Sports Illustrated,13,13.18181818,,,
Keyonte George,Average,13,13.2,,,
Nick Smith Jr.,nbadraft.net,10,16.27272727,,,
Nick Smith Jr.,The Box and One,21,16.27272727,,,
Nick Smith Jr.,Sam Vecenie,19,16.27272727,,,
Nick Smith Jr.,CBS,22,16.27272727,,,
Nick Smith Jr.,Bleacher Report,15,16.27272727,,,
Nick Smith Jr.,Kevin O'Connor,14,16.27272727,,,
Nick Smith Jr.,ESPN,13,16.27272727,,,
Nick Smith Jr.,Tankathon,13,16.27272727,,,
Nick Smith Jr.,NBA Draft Room,22,16.27272727,,,
Nick Smith Jr.,Sports Illustrated,14,16.27272727,,,
Nick Smith Jr.,Average,16,16.3,,,
Kobe Bufkin,Sam Vecenie,11,17.18181818,,,
Kobe Bufkin,CBS,15,17.18181818,,,
Kobe Bufkin,nbadraft.net,19,17.18181818,,,
Kobe Bufkin,Bleacher Report,13,17.18181818,,,
Kobe Bufkin,Kevin O'Connor,10,17.18181818,,,
Kobe Bufkin,ESPN,18,17.18181818,,,
Kobe Bufkin,Tankathon,23,17.18181818,,,
Kobe Bufkin,The Box and One,14,17.18181818,,,
Kobe Bufkin,NBA Draft Room,31,17.18181818,,,
Kobe Bufkin,Sports Illustrated,18,17.18181818,,,
Kobe Bufkin,Average,17,17.2,,,
Jalen Hood-Schifino,Sam Vecenie,16,17.36363636,,,
Jalen Hood-Schifino,CBS,12,17.36363636,,,
Jalen Hood-Schifino,Bleacher Report,29,17.36363636,,,
Jalen Hood-Schifino,Kevin O'Connor,22,17.36363636,,,
Jalen Hood-Schifino,ESPN,11,17.36363636,,,
Jalen Hood-Schifino,Tankathon,17,17.36363636,,,
Jalen Hood-Schifino,The Box and One,18,17.36363636,,,
Jalen Hood-Schifino,NBA Draft Room,13,17.36363636,,,
Jalen Hood-Schifino,Sports Illustrated,20,17.36363636,,,
Jalen Hood-Schifino,nbadraft.net,16,17.36363636,,,
Jalen Hood-Schifino,Average,17,17.4,,,
Jordan Hawkins,Sam Vecenie,17,18.09090909,,,
Jordan Hawkins,CBS,18,18.09090909,,,
Jordan Hawkins,nbadraft.net,23,18.09090909,,,
Jordan Hawkins,Bleacher Report,23,18.09090909,,,
Jordan Hawkins,Kevin O'Connor,25,18.09090909,,,
Jordan Hawkins,ESPN,15,18.09090909,,,
Jordan Hawkins,Tankathon,14,18.09090909,,,
Jordan Hawkins,The Box and One,24,18.09090909,,,
Jordan Hawkins,NBA Draft Room,10,18.09090909,,,
Jordan Hawkins,Sports Illustrated,12,18.09090909,,,
Jordan Hawkins,Average,18,18.1,,,
GG Jackson,Sam Vecenie,22,19.33333333,,,
GG Jackson,nbadraft.net,11,19.33333333,,,
GG Jackson,Bleacher Report,20,19.33333333,,,
GG Jackson,Kevin O'Connor,18,19.33333333,,,
GG Jackson,Tankathon,30,19.33333333,,,
GG Jackson,The Box and One,12,19.33333333,,,
GG Jackson,NBA Draft Room,17,19.33333333,,,
GG Jackson,Sports Illustrated,25,19.33333333,,,
GG Jackson,Average,19,19.375,,,
Derek Lively II,Average,20,19.5,,,
Derek Lively II,nbadraft.net,32,19.54545455,,,
Derek Lively II,Bleacher Report,21,19.54545455,,,
Derek Lively II,Kevin O'Connor,20,19.54545455,,,
Derek Lively II,ESPN,12,19.54545455,,,
Derek Lively II,Tankathon,21,19.54545455,,,
Derek Lively II,The Box and One,16,19.54545455,,,
Derek Lively II,Sports Illustrated,22,19.54545455,,,
Derek Lively II,CBS,19,19.54545455,,,
Derek Lively II,Sam Vecenie,14,19.54545455,,,
Derek Lively II,NBA Draft Room,18,19.54545455,,,
Brice Sensabaugh,Average,22,21.7,,,
Kris Murray,Average,22,21.7,,,
Brice Sensabaugh,Sam Vecenie,15,21.72727273,,,
Brice Sensabaugh,CBS,23,21.72727273,,,
Brice Sensabaugh,nbadraft.net,35,21.72727273,,,
Brice Sensabaugh,Bleacher Report,14,21.72727273,,,
Brice Sensabaugh,Kevin O'Connor,19,21.72727273,,,
Brice Sensabaugh,ESPN,21,21.72727273,,,
Brice Sensabaugh,Tankathon,15,21.72727273,,,
Brice Sensabaugh,The Box and One,22,21.72727273,,,
Brice Sensabaugh,NBA Draft Room,27,21.72727273,,,
Brice Sensabaugh,Sports Illustrated,26,21.72727273,,,
Kris Murray,Sam Vecenie,20,21.72727273,,,
Kris Murray,CBS,17,21.72727273,,,
Kris Murray,nbadraft.net,18,21.72727273,,,
Kris Murray,Bleacher Report,26,21.72727273,,,
Kris Murray,Kevin O'Connor,27,21.72727273,,,
