Voter Name,Affiliation,1st Place (10 points),2nd Place (7 points),3rd Place (5 points),4th Place (3 points),5th Place (1 point)
"Ready, Stephanie",Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Reiter, Bill",CBSSports.com,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Reverchon, Remi",BeIN Sport (France),"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)"
"Reynolds, Tim",Associated Press,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","James, LeBron (LAL)"
"Robbins, Josh",The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Rohlin, Melissa",Fox Sports,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Rooks, Taylor",Bleacher Report,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)"
"Rose, Jalen",ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Russillo, Ryen",The Ringer,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Schuhmann, John",NBA.com,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Tatum, Jayson (BOS)","Booker, Devin (PHX)"
"Schutz, Guillermo",Televisa (TUDN),"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)"
"Scott, Dennis",Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)"
"Shelburne, Ramona",ESPN,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Simmons, Bill",The Ringer,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Singer, Mike",Denver Post,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Slater, Anthony",The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Curry, Stephen (GSW)"
"Smith, Doug",The Toronto Star,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Smith, Stephen A.",ESPN,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)"
"Smith, Steve",Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Sohi, Seerat",The Ringer,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Stavrou, Harris",Sport24,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Sugiura, Daisuke",Nihon Keizai Shimbun,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Termine, Justin",Sirius Radio,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Tsaltas, Christos",SDNA.gr,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Embiid, Joel (PHI)","Morant, Ja (MEM)"
"Vardon, Joe",The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Walden, Eric",Salt Lake Tribune,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Washburn, Gary",Boston Globe,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)"
"Wilbon, Michael",ESPN,"Embiid, Joel (PHI)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)"
"Windhorst, Brian",ESPN,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)"
"Winer, Matt",Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Winfield, Kristian",New York Daily News,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Durant, Kevin (BKN)"
"Wright, Michael C.",NBA.com,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Youngmisuk, Ohm",ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Zillgitt, Jeff",USA Today,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Tatum, Jayson (BOS)","Booker, Devin (PHX)"
,,,,,,
,,,,,,
