voter_name,affiliation,award,name,value,points,avgPoints,diff,diffSquared,ballot
Miguel Candeias,A Bola,COY,x2nd_Place_3_points,"Mark Daigneault, Oklahoma City",3,4.777777778,-1.777777778,3.160493827,COY
Miguel Candeias,A Bola,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Tim Cato,The Athletic,COY,x1st_Place_5_points,"Jamahl Mosley, Orlando",5,1.595959596,3.404040404,11.58749107,COY
Tim Cato,The Athletic,COY,x2nd_Place_3_points,"Mark Daigneault, Oklahoma City",3,4.777777778,-1.777777778,3.160493827,COY
Tim Cato,The Athletic,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Shams Charania,The Athletic/Stadium,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Shams Charania,The Athletic/Stadium,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Shams Charania,The Athletic/Stadium,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Anthony Chiang,Miami Herald,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Anthony Chiang,Miami Herald,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Anthony Chiang,Miami Herald,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Damichael Cole,Memphis Commercial Appeal,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Damichael Cole,Memphis Commercial Appeal,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Damichael Cole,Memphis Commercial Appeal,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Antoni Daimiel,Movistar+,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Antoni Daimiel,Movistar+,COY,x2nd_Place_3_points,"Joe Mazzulla, Boston",3,0.797979798,2.202020202,4.84889297,COY
Antoni Daimiel,Movistar+,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Dan Devine,Yahoo! Sports,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Dan Devine,Yahoo! Sports,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Dan Devine,Yahoo! Sports,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Bennett Durando,Denver Post,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Bennett Durando,Denver Post,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Bennett Durando,Denver Post,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
James Edwards III,The Athletic,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
James Edwards III,The Athletic,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
James Edwards III,The Athletic,COY,x3rd_Place_1_points,"J.B. Bickerstaff, Cleveland",1,0.01010101,0.98989899,0.97990001,COY
Chris Fedor,Cleveland.com,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Chris Fedor,Cleveland.com,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Chris Fedor,Cleveland.com,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Ignacio Garcia,MARCA,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Ignacio Garcia,MARCA,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Ignacio Garcia,MARCA,COY,x3rd_Place_1_points,"Rick Carlisle, Indiana",1,0.02020202,0.97979798,0.960004081,COY
Brian Geltzeiler,Sirius Radio,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Brian Geltzeiler,Sirius Radio,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Brian Geltzeiler,Sirius Radio,COY,x3rd_Place_1_points,"Tom Thibodeau, New York",1,0.595959596,0.404040404,0.163248648,COY
Vince Goodwill,Yahoo! Sports,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Vince Goodwill,Yahoo! Sports,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Vince Goodwill,Yahoo! Sports,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Michael Grange,Rogers Sportsnet,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Michael Grange,Rogers Sportsnet,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Michael Grange,Rogers Sportsnet,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Jared Greenberg,WarnerMedia,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Jared Greenberg,WarnerMedia,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Jared Greenberg,WarnerMedia,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Mike Greenberg,ESPN,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Mike Greenberg,ESPN,COY,x2nd_Place_3_points,"Tom Thibodeau, New York",3,0.595959596,2.404040404,5.779410264,COY
Mike Greenberg,ESPN,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Will Guillory,The Athletic,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Will Guillory,The Athletic,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Will Guillory,The Athletic,COY,x3rd_Place_1_points,"Erik Spoelstra, Miami",1,0.060606061,0.939393939,0.882460973,COY
Zach Harper,The Athletic,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
